model,fold,n_train,n_val,accuracy,auc
svm,0,313,81,0.7037037037037037,0.6887519260400616
svm,1,312,82,0.6951219512195121,0.7787990196078431
svm,2,322,72,0.75,0.7875688434303698
svm,3,313,81,0.8395061728395061,0.8786472148541115
svm,4,316,78,0.6794871794871795,0.6928301886792453
