model,fold,n_train,n_val,loss,accuracy,auc,precision,recall
resnet50,0,313,81,0.6731242537498474,0.654321014881134,0.6729583740234375,0.38461539149284363,0.4545454680919647
resnet50,1,312,82,0.6284158825874329,0.6951219439506531,0.7334558963775635,0.6363636255264282,0.6176470518112183
resnet50,2,322,72,0.5960185527801514,0.7083333134651184,0.7206923961639404,0.7272727489471436,0.5161290168762207
resnet50,3,313,81,0.5541715621948242,0.8888888955116272,0.867374062538147,0.8571428656578064,0.8275862336158752
resnet50,4,316,78,0.6497547030448914,0.7564102411270142,0.796603798866272,0.6499999761581421,0.5199999809265137
