model,loss_mean,loss_std,loss_ci_lower,loss_ci_upper,accuracy_mean,accuracy_std,accuracy_ci_lower,accuracy_ci_upper,auc_mean,auc_std,auc_ci_lower,auc_ci_upper,precision_mean,precision_std,precision_ci_lower,precision_ci_upper,recall_mean,recall_std,recall_ci_lower,recall_ci_upper
vgg16,0.5256181418895721,0.06984555880517475,0.4388934260867626,0.6123428576923817,0.7774558186531066,0.07579006949609346,0.683350017938446,0.8715616193677673,0.8162940859794616,0.06900678883832392,0.7306108406472653,0.9019773313116579,0.6942631959915161,0.174017356316491,0.47819210959073244,0.9103342823922997,0.7400770664215088,0.08003308505949286,0.6407028660379568,0.8394512668050609
xception,0.5574954748153687,0.05186870719764508,0.4930919684546802,0.6218989811760571,0.771244752407074,0.024402421039681817,0.740945144733091,0.801544360081057,0.8036690831184388,0.07547497818046282,0.7099545199465432,0.8973836462903343,0.682793939113617,0.10533269045299073,0.5520061295441968,0.8135817486830371,0.6700056552886963,0.14789939621766562,0.48636429964914657,0.8536470109282459
inception_v3,0.5821835398674011,0.05281163573607728,0.5166092330876625,0.6477578466471398,0.7589071989059448,0.051097139764607655,0.6954617200490454,0.8223526777628443,0.7860827088356018,0.07380561316605252,0.6944409361019606,0.8777244815692431,0.6584487676620483,0.11305062793094055,0.5180778729858703,0.7988196623382263,0.6781174302101135,0.12956238014813629,0.5172444872585823,0.8389903731616447
resnet50,0.6202969908714294,0.04660045006819414,0.5624348897216606,0.6781590920211983,0.7406150817871093,0.09054420886279868,0.6281895973963298,0.8530405661778888,0.7582169055938721,0.07529782878373323,0.6647223024501993,0.851711508737545,0.6510789215564727,0.172835445804262,0.4364753708878224,0.8656824722251231,0.5871815502643585,0.1465236453746074,0.40524841491713265,0.7691146856115842
svm,,,,,0.7335638014499803,0.06478351836670823,0.6531244390170663,0.8140031638828944,0.7653194385223262,0.07848120049388356,0.6678721573332593,0.8627667197113931,,,,,,,,
custom_cnn,1.4802440404891968,1.4386631947324784,-0.3060922539509363,3.26658033492933,0.6743931412696839,0.20538534371654246,0.4193735542181469,0.9294127283212208,0.7689352035522461,0.15204852035577526,0.5801420298463273,0.9577283772581648,0.5672126173973083,0.39481202927765274,0.0769887345854755,1.0574365002091413,0.5285022497177124,0.36071732082264063,0.08061253892372172,0.9763919605117031
